Date,Age,Gender,City,Position ,Experience,Years of experience in Germany,Seniority level,Main Technology,Main_Tech_2,Salary,Bonus_Stocks_inclusion,Salary_1yr_ago,Bonus_Stocks_1yr_ago,Vacations,Employment status,Contract duration,Language,Company size,Company type,Job_lost_covid,Shorter_working_week,Additional income wfh
24-11-2020,26,Male,Berlin,QA Engineer,6,6,Middle,JavaScript,SQL,50000,,45000,,y,Full-time employee,Unlimited contract,English,1000,Product,No,0,0
26-11-2020,20,Male,Berlin,Mobile Developer,5,2,Lead,C#,.NET,240000,15000,,,y,Full-time employee,Unlimited contract,English,10000,Product,Yes,0,0
25-11-2020,22,Female,Berlin,Business Analyst,4,1,Middle,Business Development Manager Operation ,,39000,,39000,,y,Full-time employee,Temporary contract,English,10000,Startup,No,0,0
25-11-2020,22,Male,Berlin,Presales Engineer ,4,4,Middle,Java ,.NET,63000,,,,y,Full-time employee,Unlimited contract,English,1000,Startup,No,0,0
26-11-2020,22,Diverse,Cologne,QA Engineer,1,1,Head,Cobol,SQL,159000,35000,98000,23000,y,Full-time employee,Unlimited contract,German,10000,Product,No,30,2000
02-12-2020,22,Female,Eindhoven,Frontend Developer,2,0,Junior,JavaScript,SQL,24000,0,0,0,y,Full-time employee,Unlimited contract,English,50,Product,Yes,32,0
06-12-2020,22,Male,Frankfurt,Software Engineer,2,2,Junior,Java ,,45000,7000,37000,3000,y,Full-time employee,Unlimited contract,German,10000,Bank,Yes,30,0
30-11-2020,22,Male,Istanbul,Backend Developer,3,0,Middle,PHP,SQL,10001,0,,,n,Self-employed,Unlimited contract,English,10,Startup,Yes,0,0
24-11-2020,22,Male,Warsaw,Backend Developer,3,0,Middle,PHP,,27000,,,,y,Full-time employee,Unlimited contract,Polish,100,Consulting and Product,No,0,0
01-12-2020,22,Male,Zurich,Product Analyst,2,0.5,Intern,Python,SQL,35000,35000,30000,30000,n,Intern,Temporary contract,German,10,Startup,No,0,0
01-12-2020,23,Female,Berlin,Data Analyst,1,1,Junior,SQL,SQL,36000,36000,36000,36000,y,Full-time employee,Unlimited contract,English,10000,Startup,No,0,500
24-11-2020,23,Male,Berlin,Mobile Developer,3,0,Lead,Swift,Objective-C,65000,65000,,,y,Full-time employee,Unlimited contract,English,100,Startup,No,0,0
24-11-2020,23,Male,Berlin,Software Engineer,4,1,Middle,JavaScript,SQL,70500,0,58000,0,y,Full-time employee,Unlimited contract,English,10000,Product,No,0,0
25-11-2020,23,Male,Berlin,Software Engineer,3,3,Middle,JavaScript,SQL,60000,6000,52000,0,y,Full-time employee,Unlimited contract,English,10000,Product,No,0,0
25-11-2020,23,Male,Berlin,Backend Developer,3,1,Middle,Java ,,80000,100000,,,y,Full-time employee,Unlimited contract,English,10000,Product,No,0,400
25-11-2020,23,Male,Berlin,Data Analyst,4,0.25,Middle,,SQL,45000,0,,,y,Full-time employee,Unlimited contract,English,50,Product,No,0,0
25-11-2020,23,Male,Berlin,Software Engineer,5,0,Middle,Python,SQL,53000,0,,,y,Full-time employee,Unlimited contract,English,1000,Product,No,0,0
30-11-2020,23,Male,Dublin,Data Analyst,3,0,Senior,Python,SQL,49200,2000,44500,1500,y,Full-time employee,Unlimited contract,English,10000,Product,No,0,540
27-11-2020,23,Male,Munich,ML Engineer,1,0,Junior,Python,SQL,49000,,,,n,Full-time employee,Unlimited contract,English,1000,Product,Yes,0,0
30-11-2020,23,Male,NJ,Frontend Developer,4,0,EntryLevel,Django,SQL,54179.13,60847.32,,,n,Full-time employee,Unlimited contract,English,10,Education,No,0,1250
24-11-2020,23,Male,Stockholm,Frontend Developer,5,1.5,Senior,JavaScript,SQL,45600,45600,,,y,Full-time employee,Unlimited contract,English,10,Consulting and Product,No,0,0
25-11-2020,23,Male,Warsaw,Software Engineer,4,0,Middle,PHP,SQL,34000,,,,y,Full-time employee,Temporary contract,English,10,Product,No,0,0
24-11-2020,24,Male,Aachen,Head of IT ,3,2,Junior,Python,SQL,10164,,,,y,Part-time employee,Temporary contract,English,0,University,No,0,0
24-11-2020,24,Male,Berlin,Data Scientist,4,2,Senior,Python,SQL,73000,73000,50000,50000,y,Full-time employee,Unlimited contract,English,1000,Startup,No,0,0
30-11-2020,24,Male,Berlin,Backend Developer,1,1,WorkingStudent,Python,SQL,14400,0,,,y,Part-time employee,Temporary contract,German,10,Startup,No,0,0
24-11-2020,24,Male,Berlin,Backend Developer,4,3,Middle,PHP,SQL,46000,,42000,,y,Full-time employee,Unlimited contract,English,100,Startup,No,0,0
26-11-2020,24,Male,Berlin,Software Engineer,2,2,Junior,JavaScript,SQL,50000,0,35000,35000,y,Full-time employee,Unlimited contract,German,10000,Product,No,0,0
06-01-2021,24,Male,Berlin,Frontend Developer,5,2,Senior,TypeScript,SQL,68250,0,65000,0,y,Full-time employee,Unlimited contract,English,1000,Product,No,0,0
24-11-2020,24,Male,Berlin,DevOps,6,3,Senior,Kubernetes,SQL,75000,10000,63000,,y,Full-time employee,Unlimited contract,English,1000,Product,No,0,0
